,NUTS_ID,crop_type,Water Stress Index,Pearson Correlation
411,DEB,C1100,310,-0.18315264492634273
412,DEB,C1100,320,-0.3409188276091351
413,DEB,C1100,330,-0.46431579746392027
414,DEB,C1100,340,-0.5283840242469906
415,DEB,C1100,350,-0.4573350746911411
416,DEB,C1100,360,-0.48196045001312776
417,DEB,C1100,370,-0.5013353796733537
418,DEB,C1100,380,-0.6341057270990946
419,DEB,C1100,390,-0.6913375048544975
420,DEB,R1000,260,
421,DEB,R1000,270,
422,DEB,R1000,280,
423,DEB,R1000,290,
424,DEB,R1000,300,
425,DEB,R1000,310,-0.20370294290717425
426,DEB,R1000,320,-0.2897964944068367
427,DEB,R1000,330,-0.33862390692330985
428,DEB,R1000,340,-0.3402945079646844
429,DEB,R1000,350,-0.3511348020923576
430,DEB,R1000,360,-0.32048402863464276
431,DEB,R1000,370,-0.274593543219371
